id,author_id,text,created_at,like_count,retweet_count,reply_count,impression_count,quote_count
1618386380568285184,728290396497813505,"That Tess scene is still heartbreaking to think about; her acting🤌Cool choice in order to show more creepy layers to the infected but did anyone else think Tess could've spared herself the kiss by using👇instead of a lighter to initiate the blast🙃? 
#TheLastOfUs #TheLastOfUsHBO https://t.co/J7GH5MGDad",2023-01-25 23:12:35+00:00,1,0,1,77,0
1618385143106011136,795063792,"""You get her there, you keep her alive, and you set everything right.""

#tlou #TheLastOfUs #TheLastOfUsHBO https://t.co/4I6xUi0LXu",2023-01-25 23:07:40+00:00,16,1,2,694,0
1618384643203674112,1457851018771845124,"Im looking forward to this episode , they just get better ❤️ #TheLastOfUs #TheLastOfUsHBO https://t.co/cuCeEp9fiK",2023-01-25 23:05:41+00:00,0,0,0,41,0
1618383013641064448,1267628333078056965,"""Ellie's Publicity Stunt"" (Poll Winner)

(4K, No logo &amp; No Watermark Download in the replies)

#ellie #elliewilliams #TheLastOfUs #TheLastOfUsHBO #nsfwart #nsfw_art #3D #3DNSFW #BlenderNSFW https://t.co/DUuNKQNXZY",2023-01-25 22:59:13+00:00,86,9,3,967,0
1618382610807525377,1616061154496860160,"🚨If you are looking for a solid and stable #IPTV server without interruptions

✅+10000 international TV channels
✅+25000 movies
✅Series+2000
✅High quality and stability
✅HD,FullHD and 4K

My WhatsApp📲 https://t.co/3pE7lfprqZ

#USA #HBO #TheLastOfUsHBO #English #TheLastOfUs https://t.co/QHhC18JuE1",2023-01-25 22:57:37+00:00,0,0,0,62,0
1618380131327954945,1266958520630550528,"“Save who you can save.”

#TheLastOfUs #TheLastOfUsHBO https://t.co/m4klHJQtwG",2023-01-25 22:47:46+00:00,232,42,1,3372,0
1618379355146846208,637028989,How Pedro and Bella reacted to the clickers #tlou #thelastofus #thelastofushbo #shorts https://t.co/YqlFKmvhvB via @YouTube,2023-01-25 22:44:40+00:00,1,0,0,166,0
1618379078226317312,380453356,Jeez the designs are insanely creepy 🔥🔥🔥🔥🔥🔥🔥🔥 #TheLastOfUs #TheLastOfUsHBO https://t.co/YU8oND1irh,2023-01-25 22:43:34+00:00,0,0,0,49,0
1618377676724768769,2229200703,"The Last of Us on @HBO is amazing!

#TheLastOfUs #TheLastOfUsHBO https://t.co/rPaQ2NXmxy",2023-01-25 22:38:00+00:00,0,0,0,53,0
1618377187991908353,938032912590688257,"When Tess got this so seriously, dud she's not playing 😰
#TheLastOfUs    #TheLastOfUsHBO https://t.co/ZzRT2GaeNj",2023-01-25 22:36:04+00:00,0,0,0,53,0
1618376591771570181,1618368543845765122,I just wanna say good job loving the show so far been a fan if tlou since 2019 and still are my favorite games  @Naughty_Dog @hbomax @HBO @PlayStation so glad they add this part into the show makes me laugh every time #tlou #PS4 #PlayStation #HBOMax #TheLastOfUs #TheLastOfUsHBO https://t.co/HJQmuZXqJw,2023-01-25 22:33:42+00:00,0,0,0,20,0
1618376170336292873,988965847921299457,"MORE LAST OF US 
https://t.co/bm3UcXRI2F 
https://t.co/bm3UcXRI2F 
https://t.co/bm3UcXRI2F 
#TheLastOfUs #TheLastOfUsHBO #TheLastOfUsPart1 #Twitch #twitchstreamer #smallstreamer #twitchaffiliate https://t.co/ghewbeMI6C",2023-01-25 22:32:01+00:00,3,0,1,52,0
